model_year,milage,engine,accident,price,automatic
2013,51000.0,3.7,1,10300.0,0.0
2021,34742.0,3.8,1,38005.0,1.0
2015,88900.0,3.5,0,15500.0,0.0
2017,84000.0,2.0,0,31000.0,0.0
2001,242000.0,4.4,0,7300.0,0.0
2021,23436.0,3.5,0,41927.0,0.0
2019,22770.0,5.2,0,184606.0,0.0
2021,12500.0,3.0,0,53500.0,0.0
2022,18196.0,3.0,0,62000.0,0.0
2013,79800.0,5.0,0,29990.0,0.0
2021,1685.0,2.0,0,250000.0,1.0
2013,61074.0,3.6,0,16800.0,0.0
2003,74000.0,3.5,0,11000.0,0.0
2018,35250.0,5.0,0,68750.0,0.0
2000,133510.0,2.2,0,4500.0,0.0
2023,2823.0,3.5,0,58504.0,1.0
2021,52000.0,5.3,0,61000.0,0.0
2022,11650.0,2.0,0,32300.0,0.0
2021,17500.0,2.0,0,59995.0,0.0
2015,69000.0,4.4,0,25700.0,0.0
2017,81880.0,2.0,0,21375.0,1.0
2018,28800.0,3.0,0,48000.0,0.0
2006,300183.0,5.7,1,10900.0,0.0
2011,171000.0,3.5,0,5999.0,0.0
2016,118700.0,5.7,0,46900.0,0.0
2017,119000.0,2.4,0,15900.0,0.0
2012,125575.0,2.0,0,8999.0,0.0
2007,16200.0,2.7,0,8200.0,0.0
2014,70000.0,2.0,1,20000.0,0.0
2011,20200.0,6.0,0,79950.0,0.0
2007,189719.0,3.0,1,14000.0,0.0
2012,54000.0,3.0,1,36880.0,0.0
2021,51351.0,5.3,0,43147.0,1.0
2017,24280.0,2.0,1,29000.0,0.0
2016,89148.0,3.5,0,17500.0,0.0
2017,73043.0,3.6,0,30990.0,0.0
2017,60000.0,4.0,1,52500.0,0.0
2005,110900.0,6.0,0,19500.0,0.0
2013,39000.0,3.8,0,73000.0,0.0
2016,120000.0,2.0,0,19800.0,0.0
2009,134602.0,3.5,0,7500.0,0.0
2010,83500.0,2.0,0,6500.0,0.0
2014,37060.0,5.0,0,28500.0,0.0
2010,97700.0,3.7,0,10995.0,0.0
2018,40000.0,2.0,0,42000.0,0.0
2014,186000.0,3.5,1,10000.0,0.0
2014,104000.0,3.5,0,21000.0,0.0
2023,8500.0,3.0,0,67900.0,0.0
2023,6090.0,2.0,0,46900.0,0.0
2019,47523.0,2.0,0,31000.0,0.0
2006,43000.0,6.1,1,19995.0,0.0
2017,14684.0,6.0,0,130000.0,0.0
2019,57800.0,3.0,0,55999.0,0.0
2023,952.0,1.6,0,49950.0,0.0
2019,21240.0,2.9,1,59950.0,0.0
2019,59338.0,3.0,0,42499.0,0.0
2019,23230.0,3.0,0,44999.0,0.0
2017,48000.0,3.0,1,30000.0,0.0
2005,41059.0,3.3,0,11100.0,0.0
2015,11500.0,3.4,0,72000.0,0.0
2021,9950.0,3.3,0,53950.0,0.0
2023,633.0,2.0,0,47999.0,0.0
2015,66000.0,2.4,1,15900.0,0.0
2014,59715.0,4.0,1,45000.0,0.0
2012,85252.0,3.0,0,18500.0,0.0
2020,17900.0,3.0,1,80000.0,0.0
2016,25500.0,4.4,0,55000.0,0.0
2023,3800.0,2.0,0,34000.0,0.0
2022,36602.0,1.6,0,31995.0,1.0
2021,2165.0,5.2,0,279950.0,1.0
2018,33000.0,2.0,1,29900.0,0.0
