model_year,milage,engine,accident,price,automatic
2013,51000.0,3.7,1,10300.0,0.0
2023,2823.0,3.5,0,58504.0,1.0
2014,37060.0,5.0,0,28500.0,0.0
2013,105000.0,3.7,1,6600.0,0.0
2015,194454.0,2.5,0,9888.0,0.0
2013,162100.0,5.4,0,12500.0,0.0
2012,129000.0,2.5,1,7000.0,0.0
2019,34672.0,3.5,0,45500.0,0.0
2018,95000.0,3.7,0,43000.0,0.0
2022,26500.0,3.5,0,65900.0,0.0
2018,75600.0,1.5,1,14950.0,0.0
2008,148949.0,3.5,0,3900.0,0.0
2001,109357.0,6.8,0,12749.0,0.0
2023,20000.0,3.5,0,78499.0,0.0
2022,2050.0,5.2,0,94999.0,0.0
2015,143000.0,3.7,0,22500.0,0.0
2020,32000.0,2.0,0,68000.0,0.0
2020,61001.0,2.3,1,28616.0,1.0
2015,84352.0,2.0,1,10000.0,0.0
2020,119000.0,2.5,0,18000.0,0.0
2021,44000.0,6.7,1,73000.0,0.0
2016,85253.0,3.5,0,19995.0,0.0
2021,15198.0,1.5,0,31621.0,1.0
2020,58700.0,3.5,1,48999.0,0.0
2023,195.0,3.5,0,87500.0,0.0
2021,37594.0,3.5,0,62595.0,1.0
2012,6400.0,5.4,0,48000.0,0.0
2022,22985.0,2.5,0,33500.0,0.0
2017,67482.0,2.0,1,11499.0,0.0
2016,49700.0,2.3,0,31700.0,0.0
2021,31729.0,1.5,1,29614.0,1.0
2011,132000.0,3.7,1,10999.0,0.0
2020,67516.0,3.5,0,36994.0,1.0
2019,67500.0,3.5,0,40500.0,0.0
2020,52000.0,3.5,1,53722.0,0.0
2012,105500.0,5.0,0,19000.0,0.0
2021,23842.0,3.5,0,59203.0,1.0
2022,15600.0,2.7,1,68995.0,0.0
2021,45000.0,3.5,0,52000.0,0.0
2014,89988.0,6.2,1,42500.0,0.0
2018,92000.0,3.0,1,36500.0,0.0
2009,166200.0,4.0,1,6999.0,0.0
2017,74349.0,3.5,0,36000.0,0.0
2019,85000.0,6.7,1,55000.0,0.0
2008,149460.0,6.4,1,12240.0,0.0
2021,48000.0,3.5,0,57000.0,0.0
2019,81000.0,3.5,0,38500.0,0.0
2018,98000.0,3.5,1,25500.0,0.0
2013,147191.0,3.7,1,12990.0,0.0
2010,87500.0,4.6,1,14900.0,0.0
2013,57912.0,3.7,1,18750.0,0.0
2017,89352.0,2.3,1,20989.0,0.0
2008,119000.0,4.0,1,13500.0,0.0
2005,82000.0,3.9,0,14900.0,0.0
2003,83000.0,4.6,0,10500.0,0.0
2011,152000.0,3.5,0,14000.0,0.0
1998,63900.0,3.8,0,10300.0,0.0
2012,186268.0,3.0,0,4500.0,0.0
2019,115000.0,3.5,0,39000.0,0.0
2013,161933.0,2.0,0,7945.0,1.0
2018,18500.0,5.2,1,77999.0,0.0
2010,52246.0,6.4,0,26095.0,0.0
2023,2000.0,2.7,0,66500.0,0.0
2015,54357.0,1.6,0,16250.0,0.0
2012,163000.0,5.4,0,19550.0,0.0
2010,72000.0,2.0,1,10900.0,0.0
2016,107000.0,5.0,1,22000.0,0.0
2007,121630.0,4.0,0,9450.0,0.0
2021,84351.0,3.5,0,42691.0,1.0
2016,25717.0,5.0,0,33900.0,0.0
2021,3000.0,5.0,0,49500.0,0.0
2016,87248.0,3.7,0,19999.0,0.0
2019,48500.0,5.0,1,44999.0,0.0
2022,13700.0,2.5,0,39500.0,0.0
2017,169000.0,3.5,0,13000.0,0.0
2003,67550.0,6.0,0,30000.0,0.0
2004,170000.0,6.8,0,8500.0,0.0
2022,6200.0,2.3,0,49000.0,0.0
2021,51808.0,5.0,0,42388.0,1.0
2011,101000.0,5.0,0,18500.0,0.0
2013,62500.0,3.7,0,16000.0,0.0
2019,51300.0,3.5,0,48295.0,1.0
2023,3400.0,2.3,0,57000.0,0.0
2009,130200.0,6.4,0,28900.0,0.0
2016,14900.0,2.3,0,39000.0,0.0
2022,4200.0,2.7,0,65994.0,0.0
2023,8911.0,3.5,1,77430.0,1.0
2007,126000.0,4.0,0,9000.0,0.0
2004,76163.0,6.0,0,20500.0,0.0
2022,12000.0,2.7,1,65999.0,0.0
2019,2800.0,5.2,0,91000.0,0.0
2019,94650.0,3.7,0,37000.0,0.0
2022,22169.0,3.5,0,57352.0,1.0
2018,72393.0,2.7,0,35000.0,0.0
2016,40570.0,5.0,1,30490.0,0.0
2023,12000.0,2.3,0,54000.0,0.0
2022,30301.0,3.5,0,68420.0,1.0
2007,133300.0,2.3,0,3000.0,0.0
2021,51902.0,3.5,0,57480.0,1.0
2017,128000.0,6.7,0,50000.0,0.0
2019,42728.0,3.5,0,45950.0,0.0
2014,60109.0,2.0,0,9499.0,0.0
2021,28260.0,3.5,0,72950.0,0.0
2001,239000.0,6.8,0,8000.0,0.0
2021,19590.0,2.7,0,54999.0,0.0
2004,79635.0,3.9,0,13500.0,0.0
2018,67650.0,3.5,0,30000.0,0.0
2010,169802.0,2.0,0,9985.0,1.0
2019,64532.0,2.0,1,19395.0,0.0
2000,205000.0,6.8,1,9950.0,0.0
2017,104000.0,3.5,1,19995.0,0.0
2022,13865.0,1.5,0,29182.0,1.0
2018,45578.0,3.5,0,45023.0,0.0
2023,16500.0,2.3,0,54000.0,0.0
2018,18515.0,5.2,1,60867.0,0.0
2019,85000.0,6.7,1,52500.0,0.0
2019,69205.0,6.7,0,73500.0,0.0
2020,92000.0,3.5,0,29999.0,0.0
2016,54000.0,3.7,0,23999.0,0.0
2021,43329.0,3.5,0,43642.0,1.0
2023,9281.0,3.5,0,85000.0,0.0
2017,22000.0,6.2,1,53000.0,0.0
2019,80200.0,6.2,0,42500.0,0.0
2014,38560.0,5.0,1,28500.0,0.0
2014,110000.0,2.0,0,9495.0,0.0
2021,33705.0,2.3,1,36995.0,1.0
2014,35900.0,6.2,1,27900.0,0.0
2016,95500.0,3.5,0,20000.0,0.0
2013,126225.0,2.0,1,11500.0,0.0
2021,30176.0,1.5,0,28979.0,1.0
2017,26000.0,2.3,0,37000.0,0.0
2021,28220.0,6.7,0,73600.0,0.0
2015,97700.0,6.7,0,39950.0,0.0
2001,333361.0,7.3,1,17000.0,0.0
2019,124000.0,6.2,0,40100.0,0.0
2005,176691.0,6.0,1,13000.0,0.0
2011,114323.0,2.5,0,6000.0,0.0
2011,156856.0,5.4,0,14300.0,0.0
2011,74500.0,5.0,0,22000.0,0.0
2022,18465.0,3.5,0,47500.0,0.0
1997,92800.0,5.8,0,9000.0,0.0
2017,91000.0,2.0,0,12500.0,0.0
2019,31600.0,5.0,0,41000.0,0.0
2014,79615.0,2.0,0,10995.0,1.0
2023,9500.0,3.5,1,63500.0,0.0
2017,80134.0,2.0,0,13895.0,1.0
2017,59500.0,2.3,1,21000.0,0.0
1999,115402.0,3.0,0,8000.0,0.0
2017,182000.0,3.5,1,16500.0,0.0
2017,81000.0,3.5,0,27000.0,0.0
2012,207100.0,3.5,1,15000.0,0.0
2017,94000.0,2.7,0,26000.0,0.0
2008,157500.0,5.4,1,15000.0,0.0
2014,138415.0,3.5,1,15500.0,0.0
2003,245000.0,6.0,1,17999.0,0.0
2015,150000.0,3.5,1,17100.0,0.0
2019,81778.0,3.5,0,32769.0,1.0
2009,162000.0,3.5,1,7500.0,0.0
2021,56946.0,2.0,0,26299.0,1.0
2017,132269.0,6.2,0,35900.0,0.0
2021,25352.0,3.5,0,48459.0,1.0
2018,73049.0,3.5,1,30510.0,1.0
2014,85500.0,6.2,0,26900.0,0.0
2019,28724.0,1.6,1,18300.0,0.0
2022,6600.0,7.3,1,72900.0,0.0
2008,64500.0,4.6,1,16000.0,0.0
2002,137000.0,7.3,0,15000.0,0.0
2018,120000.0,6.7,1,55000.0,0.0
2021,88883.0,2.7,0,33172.0,1.0
2018,33700.0,2.0,1,12000.0,0.0
2021,24207.0,2.7,0,43430.0,1.0
2022,16400.0,2.5,0,34000.0,0.0
1998,49170.0,4.6,0,12500.0,0.0
2016,110450.0,2.0,0,11000.0,0.0
2022,17000.0,2.3,0,44000.0,0.0
2016,75200.0,6.2,0,22000.0,0.0
2017,152000.0,3.5,0,15499.0,0.0
2019,32268.0,6.2,0,46500.0,0.0
2019,10400.0,5.0,0,40000.0,0.0
2002,40110.0,3.9,0,18500.0,0.0
2013,31000.0,6.2,1,35000.0,0.0
2009,107500.0,2.0,0,9500.0,0.0
1999,48054.0,4.6,0,9500.0,0.0
2019,38600.0,6.7,0,54500.0,0.0
2010,58500.0,4.6,1,20000.0,0.0
2018,64000.0,6.7,0,64000.0,0.0
2013,82900.0,3.5,1,16000.0,0.0
2020,67072.0,3.5,0,38500.0,0.0
2014,80800.0,2.5,0,10000.0,0.0
2020,53401.0,3.5,0,39500.0,0.0
2021,15555.0,5.0,0,62890.0,1.0
2019,38514.0,6.2,1,45998.0,0.0
2017,53000.0,3.5,1,25000.0,0.0
2010,144200.0,4.0,0,9999.0,0.0
2012,108045.0,2.0,0,6500.0,0.0
2020,71200.0,2.0,0,18900.0,0.0
2002,192100.0,4.0,1,6450.0,0.0
2021,32437.0,2.7,0,51000.0,0.0
2023,3763.0,6.7,0,92000.0,0.0
2008,190321.0,6.4,0,15900.0,0.0
2019,33000.0,6.7,0,59000.0,0.0
2016,68000.0,2.5,0,12500.0,0.0
2020,57000.0,3.5,1,37500.0,0.0
2013,163500.0,5.4,0,16490.0,0.0
2021,9142.0,3.5,0,61500.0,0.0
2020,45000.0,2.3,0,33500.0,0.0
2013,102000.0,3.5,0,23000.0,0.0
2004,163000.0,6.0,1,18000.0,0.0
2017,29719.0,6.2,0,31000.0,0.0
2022,17500.0,3.3,0,46000.0,0.0
2022,4500.0,7.3,0,86500.0,0.0
2017,41650.0,2.3,0,23600.0,0.0
2018,64517.0,3.5,0,47995.0,0.0
2022,23300.0,3.5,0,67500.0,0.0
2017,244000.0,6.7,0,35500.0,0.0
2015,112000.0,2.5,1,14500.0,0.0
2014,127558.0,3.5,0,13715.0,1.0
2023,11500.0,2.7,0,54490.0,0.0
2022,16700.0,1.5,0,31000.0,0.0
2018,8237.0,5.2,0,62900.0,0.0
2016,94300.0,6.2,1,28999.0,0.0
2014,59459.0,6.7,1,40999.0,0.0
2016,117000.0,3.5,0,26500.0,0.0
2022,33818.0,5.0,0,46552.0,1.0
2010,232000.0,4.6,0,3000.0,0.0
2021,568.0,5.2,0,90788.0,0.0
2004,187000.0,5.4,0,6299.0,0.0
2004,60260.0,5.4,1,30500.0,0.0
2011,195500.0,5.4,0,8999.0,0.0
2017,118000.0,3.5,0,15000.0,0.0
2021,33080.0,2.7,0,47850.0,0.0
2021,89000.0,2.3,0,34000.0,0.0
2012,160000.0,3.0,0,4500.0,0.0
2012,158366.0,2.5,1,8250.0,0.0
2003,16100.0,4.6,0,35500.0,0.0
2013,87501.0,4.6,1,17777.0,0.0
2013,18000.0,5.0,0,29000.0,0.0
2021,19200.0,5.2,0,82950.0,0.0
2012,19900.0,5.0,0,26500.0,0.0
2016,36000.0,5.0,1,31000.0,0.0
2011,149000.0,3.5,0,7999.0,0.0
2021,45979.0,3.5,0,38532.0,1.0
2020,31250.0,2.7,0,42500.0,0.0
2016,122650.0,6.7,0,38900.0,0.0
2018,60660.0,3.5,1,46900.0,0.0
2015,162000.0,6.7,0,32000.0,0.0
2010,69000.0,4.6,0,20000.0,0.0
2017,113294.0,2.0,1,16500.0,0.0
2017,161000.0,3.5,0,17500.0,0.0
2022,23850.0,6.7,0,99750.0,0.0
2021,30918.0,3.5,0,51999.0,0.0
2016,25000.0,5.0,0,65000.0,0.0
2007,123921.0,5.4,0,6900.0,0.0
2020,53000.0,3.5,1,38500.0,0.0
2023,12500.0,2.5,0,29999.0,0.0
2018,26840.0,5.0,0,42500.0,0.0
2021,17836.0,2.0,0,31933.0,1.0
2018,37100.0,5.0,0,46000.0,0.0
2018,86000.0,3.5,0,26900.0,0.0
2001,52675.0,4.6,0,16995.0,0.0
2021,17300.0,2.3,0,31000.0,0.0
2011,223824.0,2.5,1,4500.0,0.0
2013,16478.0,5.8,0,66400.0,0.0
2018,52500.0,5.0,0,35000.0,0.0
2017,156453.0,6.7,0,40000.0,0.0
2020,36500.0,6.7,0,69900.0,0.0
2013,149000.0,3.5,1,7850.0,0.0
2022,9990.0,2.7,0,64500.0,0.0
2017,50780.0,6.7,0,61000.0,0.0
2007,169613.0,4.0,1,5900.0,0.0
2019,69800.0,5.0,0,34600.0,0.0
2001,64309.0,5.4,0,7500.0,0.0
2018,48619.0,3.5,0,51499.0,0.0
2016,25880.0,3.5,0,25500.0,0.0
2020,19400.0,3.5,0,58000.0,0.0
2021,39105.0,3.0,0,44605.0,1.0
2007,7346.0,5.4,0,40999.0,0.0
2015,92421.0,6.7,0,51900.0,0.0
2022,14361.0,3.0,0,51500.0,0.0
2020,64552.0,3.0,1,36750.0,1.0
2021,64957.0,3.0,0,39979.0,1.0
2015,94634.0,6.2,1,32500.0,0.0
2012,1295.0,5.0,0,49990.0,0.0
2022,18533.0,2.3,0,38978.0,1.0
2019,112000.0,6.7,0,61995.0,0.0
2020,82146.0,2.3,0,30825.0,1.0
2020,16850.0,5.0,1,41000.0,0.0
2017,71924.0,1.5,0,13700.0,0.0
2019,44460.0,2.7,0,34500.0,0.0
2006,27407.0,4.6,0,21750.0,0.0
2019,45163.0,2.3,0,35690.0,1.0
2020,69849.0,3.5,0,48149.0,1.0
2007,228000.0,4.6,1,3850.0,0.0
2018,66281.0,6.7,0,63500.0,0.0
2014,27300.0,3.5,0,21500.0,0.0
2020,42609.0,2.3,1,32107.0,1.0
2015,112000.0,3.5,1,29500.0,0.0
2023,5500.0,3.5,0,70000.0,0.0
2004,271000.0,5.4,1,9500.0,0.0
2018,53500.0,2.7,1,31500.0,0.0
2004,315000.0,6.0,0,9200.0,0.0
2006,158000.0,6.8,1,8500.0,0.0
2010,248000.0,5.4,1,14000.0,0.0
2016,92000.0,2.7,0,19995.0,0.0
2022,20678.0,2.3,0,46000.0,0.0
2019,35500.0,5.0,0,32300.0,0.0
2004,110000.0,3.0,1,8500.0,0.0
2023,1500.0,2.3,0,60000.0,0.0
2022,52000.0,2.5,0,28000.0,0.0
2006,16000.0,4.6,0,22000.0,0.0
2013,20800.0,2.0,0,19795.0,0.0
2019,92671.0,6.7,1,50000.0,0.0
2011,133504.0,5.0,0,23500.0,0.0
2020,36000.0,6.2,0,44000.0,0.0
2020,17000.0,2.3,1,21000.0,0.0
2022,28000.0,3.5,0,53500.0,0.0
2018,53782.0,5.0,1,29950.0,0.0
2011,160000.0,3.5,0,4700.0,0.0
2022,1889.0,2.5,0,32850.0,0.0
2016,71000.0,5.0,1,24350.0,0.0
2010,29816.0,5.4,0,38000.0,0.0
2015,68749.0,6.7,0,45000.0,0.0
2015,85000.0,3.5,0,31000.0,0.0
2016,66500.0,3.5,0,27000.0,0.0
2017,134000.0,3.5,0,26500.0,0.0
2016,111700.0,2.5,0,15500.0,0.0
2012,140450.0,2.0,1,8500.0,0.0
2019,59678.0,2.7,0,33700.0,1.0
2018,105674.0,3.5,0,34995.0,0.0
2016,101387.0,2.0,1,16000.0,0.0
2020,26540.0,3.5,0,46995.0,0.0
2011,153818.0,6.7,1,29800.0,0.0
2022,17000.0,2.7,0,69999.0,0.0
2019,106000.0,2.0,1,12000.0,0.0
2018,65441.0,2.7,0,38000.0,0.0
2020,33000.0,3.5,0,62999.0,0.0
