experience_level,employment_type,position,salary_in_usd,remote_ratio,company_size,pais_empleado,pais_empleador
EX,FT,Engineer,348516,0,M,NorthAmerica,NorthAmerica
EX,FT,Engineer,232344,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,145400,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,81600,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,160000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,140000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,175000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,152900,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,97900,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,89900,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,180500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,113000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,230000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,121000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,230000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,121000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,230000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,121000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,230000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,121000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,250000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,220000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,145000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,265000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,175000,100,M,NorthAmerica,NorthAmerica
EX,FT,Engineer,219800,100,M,NorthAmerica,NorthAmerica
EX,FT,Engineer,179500,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,207000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,144200,100,M,NorthAmerica,NorthAmerica
